symbol,day_name,hour_label,hour,account_name,total_trades,total_net_pnl,avg_pnl_trade,std_pnl,wins,win_rate
FDAX,Thu,19:00,19,TM_10,22,3950.0,179.54545454545453,1459.0570251355505,12,54.54545454545454
FDAX,Thu,20:00,20,IPSPB1,10,11700.0,1170.0,1082.871696514001,9,90.0
FDAX,Thu,21:00,21,IPS_TM_8,17,14900.0,876.4705882352941,4799.889896102398,11,64.70588235294117
FDAX,Thu,22:00,22,IPS_TM_8,12,-7425.0,-618.75,1543.981165982633,7,58.333333333333336
FDAX,Thu,23:00,23,IPS_TM_10,10,-1225.0,-122.5,2031.1275604123605,7,70.0
FDAX,Tue,00:00,0,TM_7,10,4075.0,407.5,1681.4366377198594,8,80.0
FDAX,Tue,01:00,1,TM_7,27,-675.0,-25.0,2507.9584863451723,20,74.07407407407408
FDAX,Tue,02:00,2,IPS_TM_3,30,-875.0,-29.166666666666668,1442.684927089271,21,70.0
FDAX,Tue,03:00,3,IPSPB1,48,18700.0,389.5833333333333,1586.695292220472,34,70.83333333333334
FDAX,Tue,04:00,4,TS_2,20,4825.0,241.25,1312.246842753218,14,70.0
FDAX,Tue,05:00,5,IPS_TM_3,57,-6100.0,-107.01754385964912,1407.955349982328,35,61.40350877192983
FDAX,Tue,06:00,6,IPSPB1,21,10350.0,492.85714285714283,1521.9260588384145,15,71.42857142857143
FDAX,Tue,07:00,7,IPSTMUD1,47,10300.0,219.14893617021278,854.5468664157733,36,76.59574468085107
FDAX,Tue,08:00,8,IPS_TM_5dupli,165,48700.0,295.1515151515151,1315.5116347070136,119,72.12121212121212
FDAX,Tue,09:00,9,TS_2,47,-6800.0,-144.68085106382978,1568.9058788847913,29,61.702127659574465
FDAX,Tue,10:00,10,IPSTMUD1,31,4700.0,151.61290322580646,934.5216129984851,25,80.64516129032258
FDAX,Tue,11:00,11,IPS_TM_12,40,47200.0,1180.0,3919.3316083753684,28,70.0
FDAX,Tue,12:00,12,IPS_TM_10,113,-4300.0,-38.05309734513274,2133.3164399286347,74,65.48672566371681
FDAX,Tue,13:00,13,IPSTMUD1,50,4550.0,91.0,1012.7725130873696,34,68.0
FDAX,Tue,14:00,14,TM_7,28,23675.0,845.5357142857143,3133.850825849445,19,67.85714285714286
FDAX,Tue,15:00,15,IPS_TM_3,22,4950.0,225.0,636.3493350279202,16,72.72727272727273
FDAX,Tue,16:00,16,IPS_TM_10,17,3350.0,197.05882352941177,2810.761717724135,13,76.47058823529412
FDAX,Tue,19:00,19,IPS_TM_5dupli,11,22175.0,2015.909090909091,3838.6728293655206,8,72.72727272727273
FDAX,Tue,20:00,20,TS_2,23,-7500.0,-326.0869565217391,3137.7420067917906,16,69.56521739130434
FDAX,Tue,21:00,21,IPS_TM_8,38,-25375.0,-667.7631578947369,1684.5472955777784,18,47.368421052631575
FDAX,Tue,22:00,22,IPS_TM_8,20,-15075.0,-753.75,1608.2287371678917,10,50.0
FDAX,Tue,23:00,23,IPS_TM_8,17,3225.0,189.7058823529412,1055.937780169,10,58.82352941176471
FDAX,Wed,00:00,0,TM_10,32,6825.0,213.28125,579.6614826567369,21,65.625
FDAX,Wed,01:00,1,IPS_TM_6,13,11725.0,901.9230769230769,1687.3444847619025,11,84.61538461538461
FDAX,Wed,02:00,2,TM_7,13,2150.0,165.3846153846154,1097.6081221199074,10,76.92307692307693
FDAX,Wed,03:00,3,TM_3,89,-1900.0,-21.348314606741575,1346.2519021774658,59,66.29213483146067
FDAX,Wed,04:00,4,IPS_TM_6,77,-17725.0,-230.19480519480518,3072.317340889537,50,64.93506493506493
FDAX,Wed,05:00,5,IPS_TM_6,53,4850.0,91.50943396226415,1773.4618429961035,34,64.15094339622641
FDAX,Wed,06:00,6,IPS_TM_5dupli,114,3400.0,29.82456140350877,1732.915586266657,72,63.1578947368421
FDAX,Wed,07:00,7,IPS_TM_3,51,15425.0,302.45098039215685,849.6948702616836,36,70.58823529411765
FDAX,Wed,08:00,8,IPSPB1,24,25.0,1.0416666666666667,2002.0978015282017,17,70.83333333333334
FDAX,Wed,09:00,9,IPS_TM_3,61,75.0,1.2295081967213115,997.3028860121119,39,63.934426229508205
FDAX,Wed,10:00,10,IPSPB1,24,12800.0,533.3333333333334,1379.541249100952,20,83.33333333333334
FDAX,Wed,11:00,11,TS_2,31,13500.0,435.48387096774195,2387.892848949575,20,64.51612903225806
FDAX,Wed,12:00,12,TS_2,17,4025.0,236.76470588235293,1529.3257717623378,13,76.47058823529412
FDAX,Wed,13:00,13,IPS_TM_5dupli,63,12250.0,194.44444444444446,1881.2500372116833,36,57.14285714285714
FDAX,Wed,14:00,14,IPS_TM_3,37,3500.0,94.5945945945946,1385.3666674578626,29,78.37837837837837
FDAX,Wed,15:00,15,IPS_TM_10,28,-1425.0,-50.892857142857146,2013.1337527878661,18,64.28571428571429
FDAX,Wed,16:00,16,TM_7,10,4875.0,487.5,1248.234864830244,7,70.0
FDAX,Wed,19:00,19,IPS_TM_5dupli,10,-1125.0,-112.5,2715.854940079745,7,70.0
FDAX,Wed,20:00,20,IPS_TM_12,13,33450.0,2573.076923076923,2668.9078122438796,11,84.61538461538461
FDAX,Wed,21:00,21,IPS_TM_10,10,7325.0,732.5,2052.8114190597785,9,90.0
FDAX,Wed,22:00,22,IPSTMUD1,17,-1875.0,-110.29411764705883,1103.512107132602,12,70.58823529411765
FDAX,Wed,23:00,23,IPS_TM_8,27,9300.0,344.44444444444446,1587.3952620405285,21,77.77777777777779
NQ,Fri,00:00,0,TS_4,10,5005.0,500.5,740.6020448857057,9,90.0
NQ,Fri,01:00,1,V_sim16,229,-9095.0,-39.71615720524017,415.1836232436553,171,74.67248908296943
NQ,Fri,02:00,2,TS_4,10,4335.0,433.5,467.4401328274861,9,90.0
NQ,Fri,03:00,3,V_sim16,282,-1575.0,-5.585106382978723,464.6800010838468,213,75.53191489361703
NQ,Fri,04:00,4,V_sim16,254,6575.0,25.885826771653544,510.2612122232214,189,74.40944881889764
NQ,Fri,05:00,5,V_sim16,260,6385.0,24.557692307692307,430.37145729397673,199,76.53846153846153
NQ,Fri,06:00,6,TS_3,17,6895.0,405.5882352941176,952.965572490917,14,82.35294117647058
NQ,Fri,07:00,7,V_sim16,254,-12805.0,-50.41338582677165,522.5260989547662,193,75.98425196850394
NQ,Fri,08:00,8,V_sim16,297,-11170.0,-37.60942760942761,562.7919743540293,212,71.38047138047138
NQ,Fri,09:00,9,IPSPB1,10,4530.0,453.0,698.868927466215,8,80.0
NQ,Fri,10:00,10,V_sim16,162,-1645.0,-10.154320987654321,1217.5016960003884,130,80.24691358024691
NQ,Fri,11:00,11,TM_D-R-1_1,135,15830.0,117.25925925925925,1739.8761234123372,110,81.48148148148148
NQ,Fri,12:00,12,V_sim16,273,-6245.0,-22.875457875457876,814.1242086311482,206,75.45787545787546
NQ,Fri,13:00,13,V_sim16,261,-6365.0,-24.386973180076627,767.3272842889561,207,79.3103448275862
NQ,Fri,14:00,14,TM_D-R-1_1,212,-19625.0,-92.57075471698113,822.1281306563409,162,76.41509433962264
NQ,Fri,15:00,15,IPSPB1,10,5895.0,589.5,461.6964490995259,9,90.0
NQ,Mon,00:00,0,IPS_TM_7,10,1795.0,179.5,767.5554630701868,8,80.0
NQ,Mon,01:00,1,V_sim16,331,7260.0,21.93353474320242,356.90212790387824,244,73.71601208459214
NQ,Mon,02:00,2,IPS_TM_7,23,5435.0,236.30434782608697,818.1745443242763,17,73.91304347826086
NQ,Mon,03:00,3,TS_3,14,3430.0,245.0,886.9849534757102,11,78.57142857142857
NQ,Mon,04:00,4,TM_D-R-1_1,224,-7760.0,-34.642857142857146,477.1861254630115,166,74.10714285714286
NQ,Mon,05:00,5,IPS_TM_11,51,2840.0,55.68627450980392,303.1105732366377,38,74.50980392156863
NQ,Mon,06:00,6,TM_D-R-1_1,206,4980.0,24.174757281553397,499.0227508804406,161,78.15533980582524
NQ,Mon,07:00,7,IPS_TM_7,25,15980.0,639.2,1917.9816213926556,20,80.0
NQ,Mon,08:00,8,TS_4,13,2390.0,183.84615384615384,1015.1008854750879,10,76.92307692307693
NQ,Mon,09:00,9,V_sim16,404,-15910.0,-39.381188118811885,885.1749000704401,326,80.6930693069307
